2014-03-03 15:15:48 status config-files cups-client 1.5.2-9ubuntu1
2014-03-03 15:15:48 status config-files cups-client 1.5.2-9ubuntu1
2014-03-03 15:15:48 status config-files cups-client 1.5.2-9ubuntu1
2014-03-03 15:15:48 status not-installed cups-client <none>
2014-03-03 15:15:48 trigproc man-db 2.6.1-2 <none>
2014-03-03 15:15:48 status half-configured man-db 2.6.1-2
2014-03-03 15:15:56 status installed man-db 2.6.1-2
2014-03-03 15:16:28 startup packages remove
2014-03-03 15:16:28 status installed jlex 1.2.6-6
2014-03-03 15:16:29 remove jlex 1.2.6-6 <none>
2014-03-03 15:16:29 status half-configured jlex 1.2.6-6
2014-03-03 15:16:29 status half-installed jlex 1.2.6-6
2014-03-03 15:16:29 status triggers-pending man-db 2.6.1-2
2014-03-03 15:16:29 status half-installed jlex 1.2.6-6
2014-03-03 15:16:29 status triggers-pending doc-base 0.10.3
2014-03-03 15:16:29 status half-installed jlex 1.2.6-6
2014-03-03 15:16:29 status config-files jlex 1.2.6-6
2014-03-03 15:16:29 status config-files jlex 1.2.6-6
2014-03-03 15:16:29 status config-files jlex 1.2.6-6
2014-03-03 15:16:29 status not-installed jlex <none>
2014-03-03 15:16:29 status installed libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:16:30 remove libcupsimage2 1.5.2-9ubuntu1 <none>
2014-03-03 15:16:30 status half-configured libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:16:30 status half-installed libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:16:30 status triggers-pending libc-bin 2.15-0ubuntu10
2014-03-03 15:16:30 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:16:30 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:16:30 status installed libregexp-java 1.5-3
2014-03-03 15:16:30 remove libregexp-java 1.5-3 <none>
2014-03-03 15:16:30 status half-configured libregexp-java 1.5-3
2014-03-03 15:16:30 status half-installed libregexp-java 1.5-3
2014-03-03 15:16:31 status config-files libregexp-java 1.5-3
2014-03-03 15:16:31 status config-files libregexp-java 1.5-3
2014-03-03 15:16:31 status config-files libregexp-java 1.5-3
2014-03-03 15:16:31 status not-installed libregexp-java <none>
2014-03-03 15:16:31 trigproc man-db 2.6.1-2 <none>
2014-03-03 15:16:31 status half-configured man-db 2.6.1-2
2014-03-03 15:16:37 status installed man-db 2.6.1-2
2014-03-03 15:16:37 trigproc doc-base 0.10.3 <none>
2014-03-03 15:16:37 status half-configured doc-base 0.10.3
2014-03-03 15:16:39 status installed doc-base 0.10.3
2014-03-03 15:16:39 trigproc libc-bin 2.15-0ubuntu10 <none>
2014-03-03 15:16:39 status half-configured libc-bin 2.15-0ubuntu10
2014-03-03 15:16:39 status installed libc-bin 2.15-0ubuntu10
2014-03-03 15:17:17 startup packages purge
2014-03-03 15:17:17 status installed cups-ppdc 1.5.2-9ubuntu1
2014-03-03 15:17:19 remove cups-ppdc 1.5.2-9ubuntu1 <none>
2014-03-03 15:17:19 status half-configured cups-ppdc 1.5.2-9ubuntu1
2014-03-03 15:17:19 status half-installed cups-ppdc 1.5.2-9ubuntu1
2014-03-03 15:17:19 status triggers-pending man-db 2.6.1-2
2014-03-03 15:17:19 status half-installed cups-ppdc 1.5.2-9ubuntu1
2014-03-03 15:17:19 status config-files cups-ppdc 1.5.2-9ubuntu1
2014-03-03 15:17:19 status config-files cups-ppdc 1.5.2-9ubuntu1
2014-03-03 15:17:19 status config-files cups-ppdc 1.5.2-9ubuntu1
2014-03-03 15:17:19 status not-installed cups-ppdc <none>
2014-03-03 15:17:19 status installed cups-common 1.5.2-9ubuntu1
2014-03-03 15:17:19 remove cups-common 1.5.2-9ubuntu1 <none>
2014-03-03 15:17:19 status half-configured cups-common 1.5.2-9ubuntu1
2014-03-03 15:17:19 status half-installed cups-common 1.5.2-9ubuntu1
2014-03-03 15:17:19 status config-files cups-common 1.5.2-9ubuntu1
2014-03-03 15:17:20 status config-files cups-common 1.5.2-9ubuntu1
2014-03-03 15:17:20 status config-files cups-common 1.5.2-9ubuntu1
2014-03-03 15:17:20 status not-installed cups-common <none>
2014-03-03 15:17:20 trigproc man-db 2.6.1-2 <none>
2014-03-03 15:17:20 status half-configured man-db 2.6.1-2
2014-03-03 15:17:27 status installed man-db 2.6.1-2
2014-03-03 15:17:57 startup packages purge
2014-03-03 15:17:57 status config-files cups-filters 1.0.17-0bzr0.1
2014-03-03 15:17:58 remove cups-filters 1.0.17-0bzr0.1 <none>
2014-03-03 15:17:58 purge cups-filters 1.0.17-0bzr0.1 <none>
2014-03-03 15:17:58 status config-files cups-filters 1.0.17-0bzr0.1
2014-03-03 15:17:58 status config-files cups-filters 1.0.17-0bzr0.1
2014-03-03 15:17:58 status config-files cups-filters 1.0.17-0bzr0.1
2014-03-03 15:17:58 status config-files cups-filters 1.0.17-0bzr0.1
2014-03-03 15:17:58 status config-files cups-filters 1.0.17-0bzr0.1
2014-03-03 15:17:58 status not-installed cups-filters <none>
2014-03-03 15:18:29 startup packages purge
2014-03-03 15:18:29 status installed dbtoepub 0+svn8910-1
2014-03-03 15:18:30 remove dbtoepub 0+svn8910-1 <none>
2014-03-03 15:18:30 status half-configured dbtoepub 0+svn8910-1
2014-03-03 15:18:30 status half-installed dbtoepub 0+svn8910-1
2014-03-03 15:18:30 status triggers-pending man-db 2.6.1-2
2014-03-03 15:18:30 status half-installed dbtoepub 0+svn8910-1
2014-03-03 15:18:31 status config-files dbtoepub 0+svn8910-1
2014-03-03 15:18:31 status config-files dbtoepub 0+svn8910-1
2014-03-03 15:18:31 status config-files dbtoepub 0+svn8910-1
2014-03-03 15:18:31 status not-installed dbtoepub <none>
2014-03-03 15:18:31 trigproc man-db 2.6.1-2 <none>
2014-03-03 15:18:31 status half-configured man-db 2.6.1-2
2014-03-03 15:18:37 status installed man-db 2.6.1-2
2014-03-03 15:22:37 startup packages purge
2014-03-03 15:22:37 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 15:22:39 remove abiword-common 2.9.2+svn20120213-1 <none>
2014-03-03 15:22:39 purge abiword-common 2.9.2+svn20120213-1 <none>
2014-03-03 15:22:39 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 15:22:39 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 15:22:39 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 15:22:39 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 15:22:39 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 15:22:39 status not-installed abiword-common <none>
2014-03-03 15:23:17 startup packages purge
2014-03-03 15:23:17 status config-files pstotext 1.9-5
2014-03-03 15:23:18 remove pstotext 1.9-5 <none>
2014-03-03 15:23:18 purge pstotext 1.9-5 <none>
2014-03-03 15:23:18 status config-files pstotext 1.9-5
2014-03-03 15:23:18 status config-files pstotext 1.9-5
2014-03-03 15:23:18 status config-files pstotext 1.9-5
2014-03-03 15:23:19 status config-files pstotext 1.9-5
2014-03-03 15:23:19 status config-files pstotext 1.9-5
2014-03-03 15:23:19 status not-installed pstotext <none>
2014-03-03 15:26:50 startup packages purge
2014-03-03 15:26:50 status config-files dhelp 0.6.20ubuntu1
2014-03-03 15:26:51 remove dhelp 0.6.20ubuntu1 <none>
2014-03-03 15:26:51 purge dhelp 0.6.20ubuntu1 <none>
2014-03-03 15:26:51 status config-files dhelp 0.6.20ubuntu1
2014-03-03 15:26:51 status config-files dhelp 0.6.20ubuntu1
2014-03-03 15:26:51 status config-files dhelp 0.6.20ubuntu1
2014-03-03 15:26:52 status triggers-pending menu 2.1.46ubuntu1
2014-03-03 15:26:52 status triggers-awaited menu 2.1.46ubuntu1
2014-03-03 15:26:52 status config-files dhelp 0.6.20ubuntu1
2014-03-03 15:26:52 status config-files dhelp 0.6.20ubuntu1
2014-03-03 15:26:53 status not-installed dhelp <none>
2014-03-03 15:26:53 status config-files evince 3.4.0-0ubuntu1
2014-03-03 15:26:53 remove evince 3.4.0-0ubuntu1 <none>
2014-03-03 15:26:53 purge evince 3.4.0-0ubuntu1 <none>
2014-03-03 15:26:53 status config-files evince 3.4.0-0ubuntu1
2014-03-03 15:26:54 status config-files evince 3.4.0-0ubuntu1
2014-03-03 15:26:54 status config-files evince 3.4.0-0ubuntu1
2014-03-03 15:26:54 status config-files evince 3.4.0-0ubuntu1
2014-03-03 15:26:54 status config-files evince 3.4.0-0ubuntu1
2014-03-03 15:26:54 status not-installed evince <none>
2014-03-03 15:26:54 trigproc menu 2.1.46ubuntu1 <none>
2014-03-03 15:26:54 status half-configured menu 2.1.46ubuntu1
2014-03-03 15:26:55 status installed menu 2.1.46ubuntu1
2014-03-03 15:34:29 startup packages purge
2014-03-03 15:34:29 status config-files ghostscript-x 9.05~dfsg-0ubuntu4
