[rosmaster.master][INFO] 2012-12-18 21:21:01,632: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:21:05,203: +PUB [/rosout] /rosservice_13700_1355865664704 http://linaro-alip:59040/
[rosmaster.master][INFO] 2012-12-18 21:21:05,253: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:21:05,675: -PUB [/rosout] /rosservice_13700_1355865664704 http://linaro-alip:59040/
[rosmaster.master][INFO] 2012-12-18 21:21:05,757: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:21:28,723: -SUB [/cmd_vel] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:21:28,727: -PUB [/sensorPacket] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:21:28,730: -PUB [/odom] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:21:28,733: -PUB [/rosout] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:21:28,736: -PUB [/tf] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:21:28,740: -SERVICE [/circle] /create rosrpc://linaro-alip:38845
[rosmaster.master][INFO] 2012-12-18 21:21:28,743: -SERVICE [/demo] /create rosrpc://linaro-alip:38845
[rosmaster.master][INFO] 2012-12-18 21:21:28,746: -SERVICE [/turn] /create rosrpc://linaro-alip:38845
[rosmaster.master][INFO] 2012-12-18 21:21:28,754: -SERVICE [/leds] /create rosrpc://linaro-alip:38845
[rosmaster.master][INFO] 2012-12-18 21:21:28,758: -SERVICE [/brake] /create rosrpc://linaro-alip:38845
[rosmaster.master][INFO] 2012-12-18 21:21:28,761: -SERVICE [/tank] /create rosrpc://linaro-alip:38845
[rosmaster.master][INFO] 2012-12-18 21:21:28,770: -SERVICE [/dock] /create rosrpc://linaro-alip:38845
[rosmaster.master][INFO] 2012-12-18 21:21:28,807: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:21:35,976: +PUB [/rosout] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:36,045: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:21:39,346: +PUB [/sensorPacket] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,380: +PUB [/odom] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,414: +PUB [/tf] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,451: +SERVICE [/brake] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,483: +SERVICE [/circle] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,516: +SERVICE [/demo] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,550: +SERVICE [/leds] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,582: +SERVICE [/tank] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,616: +SERVICE [/turn] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,648: +SERVICE [/dock] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:21:39,680: +SUB [/cmd_vel] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:23:09,037: -SUB [/cmd_vel] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:23:09,041: -PUB [/sensorPacket] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:23:09,045: -PUB [/odom] /create http://linaro-alip:47416/
